Name,Address,PhoneNumber,BreweryType,Website
(405) Brewing Co,"1716 Topeka StNorman, OK 73069-8224",(405) 816-0490,Taproom,http://www.405brewing.com
(512) Brewing Co,"407 Radam Ln Ste F200Austin, TX 78745-1197",(512) 921-1545,Micro,http://www.512brewing.com
10 Torr Distilling and Brewing,"490 Mill StReno, NV 89502",(775) 530-7014,Micro,http://www.10torr.com
10-56 Brewing Company,"2120 US-35Knox, IN 46534",(630) 816-5790,Taproom,
101 Brewery,"294793 US Highway 101Quilcene, WA 98376-9000",(360) 765-6485,Brewpub,http://www.101brewery.com
105 West Brewing Co,"1043 Park StCastle Rock, CO 80109-1585",(303) 325-7321,Taproom,http://www.105westbrewing.com
10K Brewing,"2005 2nd AveAnoka, MN 55303-2243",(763) 392-4753,Taproom,http://10KBrew.com
10th District Brewing Company,"491 Washington StAbington, MA 02351-2419",(781) 307-1554,Taproom,http://www.10thdistrictbrewing.com
11 Below Brewing Company,"6820 Bourgeois RdHouston, TX 77066-3107",(281) 444-2337,Micro,http://www.11belowbrewing.com
1188 Brewing Co,"141 E Main StJohn Day, OR 97845-1210",(541) 620-1357,Brewpub,http://www.1188brewing.com
12 Bones Brewing,"2350 Hendersonville RdArden, NC 28704",,Taproom,http://www.12bonesbrewing.com
12 Fox Beer Co,"4700 W Fitzhugh RdDripping Springs, TX 78620",(512) 626-4458,Taproom,http://www.12foxbeer.com
12 Gates Brewing Company,"80 Earhart Dr Ste 20Williamsville, NY 14221-7804",(716) 906-6600,Taproom,http://www.12gatesbrewing.com
12 West Brewing Company,"3000 E Ray Rd Bldg 6Gilbert, AZ 85296-7832",(480) 204-6495,Taproom,http://www.12westbrewing.com
12 West Brewing Company - Production Facility,"7733 E McDowell RdMesa, AZ 85207",,Micro,
122 West Brewing,"2416 Meridian StBellingham, WA 98225",(815) 302-2197,Brewpub,http://www.122westbrew.com
122 West Brewing Co.,"2416 Meridian StBellingham, WA 98225",(360) 306-3285,Brewpub,http://www.122westbrew.com
127 Brewing,"3090 Shirley DrJackson, MI 49201-7010",(517) 258-1346,Taproom,
12Degree Brewing,"820 Main StLouisville, CO 80027-1865",(303) 579-1004,Brewpub,http://www.12degree.com
13 Below Brewery,"7391 Forbes RdCincinnati, OH 45233-1013",(513) 975-0613,Taproom,http://www.13belowbrewery.com
13 Point Brewing,"8035 BroadwayLemon Grove, CA 91945",(619) 724-2445,Taproom,http://www.13pointbrewing.com
13 Stripes Brewery,"250 Mill St, Suite PW3101Taylors, SC 29687",(864) 349-1430,Brewpub,http://www.13StripesBrewery.com
13 Virtues Brewing Co,"6410 SE Milwaukie AvePortland, OR 97202-5518",(503) 239-3831,Taproom,http://www.13virtuesbrewing.com
13th Child Brewery,"345 S Main StWilliamstown, NJ 08094",(856) 669-7411,Taproom,http://www.13thchildbrewery.com
14 Cannons Brewing Company,"31125 Via Colinas Ste 907Westlake Village, CA 91362-3974",(818) 699-6165,Brewpub,http://14cannons.com
14 Lakes Brewery,"36846 County Hwy 66Crosslake, MN 56442",(218) 692-4129,Taproom,
14er Brewing Company,"3120 Blake StDenver, CO 80205",(720) 773-1437,Micro,http://www.14erBrewing.com
14th Star Brewing Co. ,"133 N Main St Ste 7Saint Albans, VT 05478-1735",(802) 528-5988,Micro,http://www.14thstarbrewing.com
